FID,名称,经度,纬度,X,Y,Brand,Ak,Pk
312,高群生胡辣汤,113.667499,34.715549,744382.1711,3846279.455,Others,5,4
313,朱记优质牛肉胡辣汤,113.671389,34.713782,744743.8544,3846092.822,Others,5,4
314,牛肉胡辣汤,113.677391,34.715063,745290.0934,3846249.617,Others,5,4
315,逍遥镇胡辣汤,113.666322,34.722831,744252.8777,3847084.736,Xiaoyaozhen,10,7
316,逍遥镇胡辣汤,113.620276,34.705495,740083.8482,3845049.895,Xiaoyaozhen,10,7
317,逍遥胡辣汤,113.621091,34.711251,740141.8906,3845690.622,Xiaoyaozhen,10,7
318,何师傅优质胡辣汤,113.636065,34.700788,741544.5748,3844565.345,Others,5,4
319,北舞渡胡辣汤,113.636049,34.701745,741540.3246,3844671.512,Beiwudu,8,6
320,御宴逍遥镇胡辣汤,113.648394,34.701338,742672.9673,3844656.07,Xiaoyaozhen,10,7
321,代贯辉秘制胡辣汤沅江路店,113.646036,34.701531,742456.2852,3844671.8,Others,5,4
322,方中山胡辣汤,113.647785,34.705789,742604.1449,3845148.56,Fangzhongshan,9,10
323,逍遥镇老吕家胡辣汤,113.650727,34.70633,742872.1921,3845215.702,Xiaoyaozhen,10,7
324,杨孝业特优滋补胡辣汤,113.648179,34.705696,742640.5262,3845139.19,Others,5,4
325,杨八妹胡辣汤,113.639702,34.706061,741862.5591,3845159.27,Others,5,4
326,逍遥镇一品胡辣汤,113.63867,34.706105,741767.8503,3845161.671,Xiaoyaozhen,10,7
327,穆彦华牛排胡辣汤,113.636384,34.712002,741541.1848,3845810.607,Others,5,4
328,赵记胡辣汤·碳锅鱼,113.636156,34.718182,741502.3072,3846495.897,Others,5,4
329,李记逍遥胡辣汤,113.613991,34.718391,739470.6336,3846466.054,Xiaoyaozhen,10,7
330,德益成珍菌胡辣汤,113.608747,34.719852,738985.8998,3846615.708,Others,5,4
331,邢记北舞渡胡辣汤,113.620658,34.712664,740098.1226,3845846.397,Beiwudu,8,6
332,老吴家胡辣汤,113.620609,34.711989,740095.5847,3845771.371,Others,5,4
333,逍遥镇牛肉胡辣汤,113.606829,34.722813,738801.6283,3846939.749,Xiaoyaozhen,10,7
334,李四良胡辣汤,113.61398,34.727407,739443.6058,3847466.591,Others,5,4
335,逍遥镇周老大牛排胡辣汤,113.625052,34.732874,740442.2169,3848099.742,Xiaoyaozhen,10,7
336,方秀华周口优质胡辣汤,113.607023,34.741882,738764.5055,3849056.418,Others,5,4
337,方秀华优质胡辣汤,113.607136,34.741961,738774.6296,3849065.454,Others,5,4
338,胡辣汤老店,113.609243,34.744817,738959.4148,3849387.414,Others,5,4
339,周口周老大优质胡辣汤,113.605646,34.74248,738636.6409,3849119.51,Others,5,4
340,周口胡辣汤,113.609639,34.749377,738982.5439,3849894.409,Others,5,4
341,北舞渡胡辣汤,113.605612,34.747251,738619.7939,3849648.898,Beiwudu,8,6
342,李逍遥胡辣汤,113.628498,34.734633,740752.8261,3848303.203,Xiaoyaozhen,10,7
343,方中山胡辣汤,113.632601,34.738755,741116.7418,3848770.491,Fangzhongshan,9,10
344,五月斋胡辣汤,113.640614,34.746154,741829.2441,3849610.877,Others,5,4
345,方中山胡辣汤,113.640078,34.755136,741753.9451,3850606.388,Fangzhongshan,9,10
346,西华逍遥程党生胡辣汤,113.638007,34.755232,741563.975,3850612.058,Xiaoyaozhen,10,7
347,胡辣汤手工馍,113.633504,34.756271,741148.5064,3850716.539,Others,5,4
348,周普查逍遥镇胡辣汤,113.650276,34.755248,742687.6902,3850643.419,Xiaoyaozhen,10,7
349,加工饭馍菜粥胡辣汤,113.647143,34.755562,742399.8086,3850670.698,Others,5,4
350,逍遥风味胡辣汤,113.648216,34.757166,742493.3945,3850851.297,Xiaoyaozhen,10,7
351,逍遥镇胡辣汤,113.643583,34.756413,742071.2506,3850756.551,Xiaoyaozhen,10,7
352,方一坤野山菌胡辣汤,113.644178,34.755492,742128.439,3850655.775,Others,5,4
353,西华老程记胡辣汤,113.644042,34.765248,742087.4754,3851738.148,Others,5,4
354,张华青优质胡辣汤,113.646567,34.763517,742323.7847,3851552.137,Others,5,4
355,方中山胡辣汤,113.651452,34.76958,742753.4067,3852236.801,Fangzhongshan,9,10
356,小喜哥牛肉胡辣汤,113.651456,34.76922,742754.8281,3852196.858,Others,5,4
357,胡辣汤豆沫馆,113.650845,34.76971,742697.438,3852249.76,Others,5,4
358,齐中杰胡辣汤,113.65123,34.769496,742733.3226,3852226.942,Others,5,4
359,老马家新派牛肉胡辣汤,113.630792,34.764739,740875.4893,3851649.787,Others,5,4
360,周口优质胡辣汤,113.636286,34.765099,741377.5963,3851702.935,Others,5,4
361,逍遥镇常家胡辣汤,113.637614,34.766049,741496.4483,3851811.558,Xiaoyaozhen,10,7
362,贾记胡辣汤,113.636094,34.766044,741357.2591,3851807.347,Others,5,4
363,逍遥镇优质胡辣汤,113.620938,34.752917,740007.2741,3850314.214,Xiaoyaozhen,10,7
364,杨孝业特优滋补胡辣汤,113.619643,34.761141,739864.8516,3851223.796,Others,5,4
365,逍遥镇老朱家胡辣汤,113.613978,34.769808,739320.9753,3852172.113,Xiaoyaozhen,10,7
366,老陈逍遥胡辣汤,113.615213,34.769953,739433.6534,3852191.15,Xiaoyaozhen,10,7
367,逍遥镇胡辣汤,113.616138,34.769922,739518.4514,3852189.917,Xiaoyaozhen,10,7
368,肖老大胡辣汤,113.661346,34.732614,743768.1772,3848158.35,Others,5,4
369,黄记正宗逍遥胡辣汤,113.666043,34.731447,744201.9484,3848040.245,Xiaoyaozhen,10,7
370,逍遥镇炖肉胡辣汤,113.665633,34.732063,744162.5706,3848107.611,Xiaoyaozhen,10,7
371,陈记逍遥镇胡辣汤,113.672045,34.734154,744743.867,3848355.269,Xiaoyaozhen,10,7
372,顺兴斋逍遥镇胡辣汤,113.671989,34.734096,744738.9076,3848348.696,Xiaoyaozhen,10,7
373,老朱逍遥镇胡辣汤,113.675493,34.737507,745049.8569,3848735.786,Xiaoyaozhen,10,7
374,顺城老店胡辣汤豆沫,113.675489,34.73697,745051.0773,3848676.18,Others,5,4
375,严记逍遥镇胡辣汤,113.672585,34.737374,744783.8359,3848713.935,Xiaoyaozhen,10,7
376,老方胡辣汤,113.67584,34.737666,745081.177,3848754.278,Others,5,4
377,高老七牛排胡辣汤,113.654776,34.749982,743115.3092,3850069.894,Others,5,4
378,优质胡辣汤,113.679397,34.731491,745425.321,3848077.669,Others,5,4
379,逍遥镇胡辣汤,113.679332,34.731576,745419.1142,3848086.943,Xiaoyaozhen,10,7
380,逍遥镇娃子胡辣汤,113.695541,34.74338,746869.0539,3849436.657,Xiaoyaozhen,10,7
381,逍遥老胡家胡辣汤,113.6854,34.744081,745937.978,3849489.574,Xiaoyaozhen,10,7
382,怼一碗胡辣汤,113.696332,34.750868,746919.2098,3850269.615,Others,5,4
383,清真回族豫东优质胡辣汤,113.699967,34.755064,747239.657,3850744.23,Others,5,4
384,牛犇胡辣汤,113.70029,34.761594,747249.7559,3851469.723,Others,5,4
385,逍遥镇白记胡辣汤,113.659135,34.754857,743500.2692,3850621.474,Xiaoyaozhen,10,7
386,宋氏老式胡辣汤,113.657719,34.755308,743369.2471,3850668.092,Others,5,4
387,方中山胡辣汤,113.662574,34.788401,743716.5307,3854352.487,Fangzhongshan,9,10
388,牛犇深夜胡辣汤,113.684385,34.792536,745701.2177,3854864.591,Others,5,4
389,志强逍遥胡辣汤农科路总店,113.686185,34.79213,745867.22,3854823.943,Xiaoyaozhen,10,7
390,方中山胡辣汤,113.685876,34.792134,745838.918,3854823.63,Fangzhongshan,9,10
391,王姐开封白胡辣汤,113.687569,34.794743,745986.1629,3855117.326,Others,5,4
392,高伟逍遥镇胡辣汤,113.700684,34.791415,747196.7976,3854780.226,Xiaoyaozhen,10,7
393,牛牛包胡辣汤,113.699895,34.792458,747121.4461,3854894.034,Others,5,4
394,杨孝业特优滋补胡辣汤,113.691811,34.800513,746357.3411,3855768.092,Others,5,4
395,逍遥镇胡辣汤,113.688149,34.800335,746022.6339,3855739.348,Xiaoyaozhen,10,7
396,逍遥胡辣汤,113.68485,34.805564,745705.0957,3856311.574,Xiaoyaozhen,10,7
397,逍遥镇牛肉胡辣汤,113.688818,34.808582,746059.3434,3856656.241,Xiaoyaozhen,10,7
398,春意源逍遥镇牛肉胡辣汤广电路,113.68949,34.805549,746129.8811,3856321.288,Xiaoyaozhen,10,7
399,胡辣汤饺子店,113.685112,34.806046,745727.6469,3856365.708,Others,5,4
400,十三品牛肉胡辣汤,113.659484,34.790534,743427.3449,3854581.703,Others,5,4
401,朱记逍遥镇胡辣汤豆沫,113.667998,34.790277,744207.6026,3854573.874,Xiaoyaozhen,10,7
402,杨孝业特优滋补胡辣汤,113.673304,34.801565,744660.0168,3855839.538,Others,5,4
403,逍遥镇胡辣汤,113.671818,34.804739,744514.6017,3856188.162,Xiaoyaozhen,10,7
404,逍遥镇优质牛肉胡辣汤,113.675083,34.80809,744803.5599,3856568.021,Xiaoyaozhen,10,7
405,正宗逍遥镇眼镜哥胡辣汤,113.677176,34.807093,744998.0978,3856462.486,Xiaoyaozhen,10,7
406,路记逍遥镇胡辣汤,113.653899,34.805271,742872.7479,3856203.659,Xiaoyaozhen,10,7
